2026-06-08 00:21:22 | ERROR    | [ERROR] Error en login | Usuario: admin@verduleria.local | Excepción: no such table: personas
2026-06-08 00:29:27 | WARNING  | [LOGIN_FALLIDO] Usuario: admin@verduleria.local | Usuario no existe
2026-06-08 01:16:51 | WARNING  | [LOGIN_FALLIDO] Usuario: admin@test.com | Contraseña incorrecta
2026-06-08 01:16:51 | WARNING  | [LOGIN_FALLIDO] | Faltan credenciales
2026-06-08 01:16:52 | WARNING  | [ACCESO_DENEGADO] | IP: 127.0.0.1, Sin token
2026-06-08 01:16:53 | INFO     | [LOGIN_EXITOSO] Usuario: admin@test.com | Rol: admin
2026-06-08 01:16:53 | INFO     | [LOGIN_EXITOSO] Usuario: admin@test.com | Rol: admin
2026-06-08 01:16:54 | INFO     | [LOGIN_EXITOSO] Usuario: admin@test.com | Rol: admin
2026-06-08 01:16:55 | INFO     | [LOGIN_EXITOSO] Usuario: admin@test.com | Rol: admin
2026-06-08 01:16:55 | INFO     | [LOGIN_EXITOSO] Usuario: admin@test.com | Rol: admin
2026-06-08 01:16:56 | INFO     | [LOGIN_EXITOSO] Usuario: admin@test.com | Rol: admin
2026-06-08 02:01:41 | INFO     | [LOGIN_EXITOSO] Usuario: admin@verduleria.local | Rol: admin
